Year,TotalVisitors,"Domestic
Visitors","International
Visitors",TotalVisitorSpending
1991,29.1,23.6,5.5,10.1
1995,28.5,23.1,5.4,11.7
1998,33.1,27.1,6,14.7
1999,36.4,29.8,6.6,15.6
2000,36.2,29.4,6.8,17
2001,35.2,29.5,5.7,15.1
2002,35.3,30.2,5.1,14.1
2003,37.8,33,4.8,18.5
2004,39.9,33.8,6.2,21.3
2005,42.6,35.8,6.8,24.3
2006,43.8,36.5,7.3,26.2
2007,46,37.1,8.8,30
2008,47.1,37.6,9.5,32
2009,45.8,37,8.8,28.2
2010,48.8,39.1,9.7,31.5
2011,50.9,40.3,10.3,34.5
2012,51.5,40.9,10.6,36.9
2013,53,41.7,11.3,38.8
2014,54.4,42.5,11.9,41.2
2015,55.9,43.2,12.7,42.3
2016,60.5,47.8,12.7,43
2017,62.8,49.7,13.1,44.2
2018,65.2,51.6,13.5,44
2019,66.6,53.1,13.5,47.4
2020,22.3,19.9,2.4,12.8
2021,32.9,30.2,2.7,
